No,Filename,Width,Height,AspectRatio,PixelAspectRatio,RatioSource,UsageCount,DisplayRatioVariants,AssetKind,SvgRenderable,PptxNativeSupported,SizeKB,Category,ImageArea_SxS,TextArea_SxS
1,thesis__image_001.jpeg,238,238,1.00,1.00,manifest,1,,bitmap,True,True,16.7,Near square,600x600,540x600
2,thesis__image_002.jpeg,904,98,9.20,9.22,manifest,1,,bitmap,True,True,17.2,Ultra-wide,1160x126,1160x454
3,thesis__image_003.png,133,66,3.00,2.02,manifest,1,,bitmap,True,True,11.1,Ultra-wide,1160x387,1160x193
4,thesis__image_004.png,1160,666,1.74,1.74,manifest,1,,bitmap,True,True,795.9,Wide landscape,812x466,328x600
5,thesis__image_005.png,1170,658,1.78,1.78,manifest,1,,bitmap,True,True,783.7,Wide landscape,812x457,328x600
6,thesis__image_006.png,1178,662,1.78,1.78,manifest,1,,bitmap,True,True,810.7,Wide landscape,812x457,328x600
7,thesis__image_007.png,1170,658,1.78,1.78,manifest,1,,bitmap,True,True,965.0,Wide landscape,812x457,328x600
8,thesis__image_008.png,1163,654,1.78,1.78,manifest,1,,bitmap,True,True,913.1,Wide landscape,812x457,328x600
9,thesis__image_009.png,714,1438,0.50,0.50,manifest,1,,bitmap,True,True,74.7,Portrait,298x600,842x600
10,thesis__image_010.png,1264,1636,0.77,0.77,manifest,1,,bitmap,True,True,128.8,Portrait,463x600,677x600
11,thesis__image_011.png,1833,409,4.48,4.48,manifest,1,,bitmap,True,True,57.9,Ultra-wide,1160x259,1160x321
12,thesis__image_012.png,1266,1672,0.76,0.76,manifest,1,,bitmap,True,True,128.8,Portrait,454x600,686x600
13,thesis__image_013.png,770,500,1.54,1.54,manifest,1,,bitmap,True,True,29.5,Wide landscape,812x527,328x600
14,thesis__image_014.png,1268,955,1.33,1.33,manifest,1,,bitmap,True,True,115.8,Standard landscape,797x600,343x600
15,thesis__image_015.jpeg,276,607,0.45,0.45,manifest,1,,bitmap,True,True,14.3,Portrait,273x600,867x600
16,thesis__image_016.jpeg,276,607,0.45,0.45,manifest,1,,bitmap,True,True,27.2,Portrait,273x600,867x600
17,thesis__image_017.jpeg,276,607,0.45,0.45,manifest,1,,bitmap,True,True,23.1,Portrait,273x600,867x600
18,thesis__image_018.jpeg,276,607,0.45,0.45,manifest,1,,bitmap,True,True,32.8,Portrait,273x600,867x600
19,thesis__image_019.jpeg,276,607,0.45,0.45,manifest,1,,bitmap,True,True,25.0,Portrait,272x600,868x600
20,thesis__image_020.jpeg,276,607,0.45,0.45,manifest,1,,bitmap,True,True,25.1,Portrait,273x600,867x600
21,thesis__image_021.jpeg,276,607,0.45,0.45,manifest,1,,bitmap,True,True,30.0,Portrait,273x600,867x600
22,thesis__image_022.jpeg,276,607,0.45,0.45,manifest,1,,bitmap,True,True,13.5,Portrait,273x600,867x600
23,thesis__image_023.jpeg,276,607,0.45,0.45,manifest,1,,bitmap,True,True,27.3,Portrait,273x600,867x600
24,thesis__image_024.jpeg,276,607,0.45,0.45,manifest,1,,bitmap,True,True,19.4,Portrait,273x600,867x600
25,thesis__image_025.jpeg,276,607,0.45,0.45,manifest,1,,bitmap,True,True,14.4,Portrait,273x600,867x600
26,thesis__image_026.jpeg,276,607,0.45,0.45,manifest,1,,bitmap,True,True,20.3,Portrait,273x600,867x600
27,thesis__image_027.jpeg,276,607,0.45,0.45,manifest,1,,bitmap,True,True,23.2,Portrait,273x600,867x600
28,thesis__image_028.jpeg,276,607,0.45,0.45,manifest,1,,bitmap,True,True,13.1,Portrait,273x600,867x600
29,thesis__image_029.jpeg,276,607,0.45,0.45,manifest,1,,bitmap,True,True,7.9,Portrait,273x600,867x600
30,thesis__image_030.png,1173,694,1.69,1.69,manifest,1,,bitmap,True,True,138.4,Wide landscape,812x480,328x600
31,thesis__image_031.png,876,1892,0.46,0.46,manifest,1,,bitmap,True,True,230.9,Portrait,278x600,862x600
32,thesis__image_032.png,1063,1259,0.84,0.84,manifest,1,,bitmap,True,True,174.7,Near square,507x600,633x600
33,thesis__image_033.png,1086,740,1.47,1.47,manifest,1,,bitmap,True,True,119.7,Standard landscape,812x553,328x600
34,thesis__image_034.png,700,961,0.73,0.73,manifest,1,,bitmap,True,True,119.4,Portrait,437x600,703x600
35,thesis__image_035.png,808,1624,0.50,0.50,manifest,1,,bitmap,True,True,175.0,Portrait,298x600,842x600
36,thesis__image_036.png,603,880,0.69,0.69,manifest,1,,bitmap,True,True,99.2,Portrait,411x600,729x600
37,thesis__image_037.png,764,893,0.86,0.86,manifest,1,,bitmap,True,True,119.6,Near square,513x600,627x600
38,thesis__image_038.png,817,1622,0.50,0.50,manifest,1,,bitmap,True,True,189.4,Portrait,302x600,838x600
39,thesis__image_039.png,729,1923,0.38,0.38,manifest,1,,bitmap,True,True,199.5,Portrait,227x600,913x600
40,thesis__image_040.png,1236,1973,0.63,0.63,manifest,1,,bitmap,True,True,298.4,Portrait,376x600,764x600
41,thesis__image_041.png,1158,1441,0.80,0.80,manifest,1,,bitmap,True,True,193.8,Near square,482x600,658x600
42,thesis__image_042.png,1050,1032,1.02,1.02,manifest,1,,bitmap,True,True,171.9,Near square,610x600,530x600
43,thesis__image_043.png,923,910,1.01,1.01,manifest,1,,bitmap,True,True,139.4,Near square,609x600,531x600
44,thesis__image_044.png,788,1238,0.64,0.64,manifest,1,,bitmap,True,True,144.5,Portrait,382x600,758x600
45,thesis__image_045.png,1031,997,1.03,1.03,manifest,1,,bitmap,True,True,174.5,Near square,620x600,520x600
